Group	Taxon	L	W	Mbird	Mreptile	Eggshell_thickness
Non-avian_dinosaur	Elongatoolithidae	160	60	315.648	322.56	1300
Non-avian_dinosaur	Lourinhanosaurus_antunesi	130	94	629.47664	643.2608	900
Non-avian_dinosaur	Macroelongatoolithus_xixianensis	390	120	3077.568	3144.96	2100
Non-avian_dinosaur	Prismatoolithus_levis_troodontid	140	65	324.142	331.24	1000
Non-avian_dinosaur	indet_theropod1	120	50	164.4	168	300
Non-avian_dinosaur	indet_theropod2	145	52.5	219.011625	223.8075	1300
Non-avian_dinosaur	indet_theropod3	150	50	205.5	210	1200
Non-avian_dinosaur	indet_theropod4	153	273	6248.809476	6385.64472	1300
Non-avian_dinosaur	Dendroolithidae	115	108	735.06528	751.1616	2300
Non-avian_dinosaur	Troodon_formosus	138	67	339.476136	346.90992	1000
Non-avian_dinosaur	Continuoolithus	350	70	939.82	960.4	1000
Bird	Apteryx_mantelli	116	70	311.4832	318.304	420
Bird	Casuarius_casuarius	130.5	89.5	572.8450185	585.38907	1000
Bird	Apteryx_australis	124.42	78.01	414.9266324	424.0126171	400
Bird	Eudromia_elegans	42.38	31.67	23.29365493	23.80373497	200
Bird	Emeus_crassus	198.46	140.52	2147.483461	2194.508646	1010
Bird	Rhynchotus_rufescens	54.5	41.2	50.69574304	51.8058688	240
Bird	Lithornis_plebius	75	52.5	113.281875	115.7625	460
Bird	Aepyornis_maximus	315	224	8661.38112	8851.0464	3400
Bird	Dromaius_novaehollandiae	130.3	86.9	539.2181811	551.0258785	948.6832981
Bird	Rhea_americana	128	91	580.862464	593.58208	900
Bird	Moa_indet	240	178	4167.07968	4258.3296	2100
Bird	Struthio_camelus	155.5	128.7	1411.45828	1442.366125	2245
Non-avian_dinosaur	Triprismatoolithus	75	30	36.99	37.8	687.5
Non-avian_dinosaur	Styloolithus_sabathi	70	32	39.28064	40.1408	250
Non-avian_dinosaur	Enantiornithine_egg1	47.5	22.3	12.9444587	13.227914	183
Non-avian_dinosaur	Enantiornithine_egg2	45	27	17.97714	18.3708	260
Non-avian_dinosaur	Gobioolithus_major	61.5	28	26.422368	27.00096	300
Non-avian_dinosaur	Gobioolithus_minor	38	22	10.078816	10.29952	150
Non-avian_dinosaur	Montanoolithus_strongorum	120	60	236.736	241.92	775
Non-avian_dinosaur	Avian_egg1	36	25	12.33	12.6	450
Non-avian_dinosaur	LPRPUSP_0359	31.4	19.5	6.5430378	6.686316	125.5
Non-avian_dinosaur	Avian_egg2	25.8	15.88	3.565342537	3.643415731	165.8
Non-avian_dinosaur	Ornitholithus	250	150	3082.5	3150	2170
Non-avian_dinosaur	Incognitoolithus_ramotubulus	110	82.5	410.28075	419.265	1350
Non-avian_dinosaur	Medioolithus_geiseltalensis	90	90	399.492	408.24	850
Non-avian_dinosaur	Metoolithus_nebraskensis	60	45	66.582	68.04	825
Non-avian_dinosaur	Microolithus_wilsoni	37	30	18.2484	18.648	600
Non-avian_dinosaur	Titanosaur	160	160	2244.608	2293.76	2300
Non-avian_dinosaur	Titanosaur_Type2	160	140	1718.528	1756.16	1400
Non-avian_dinosaur	Cairanoolithus_roussetenssis	170	170	2692.324	2751.28	1700
Non-avian_dinosaur	Cairanoolithus_dughii	175	175	2936.9375	3001.25	2100
Non-avian_dinosaur	Cairanoolithus_dughiiTT1	175	175	2936.9375	3001.25	1900
Non-avian_dinosaur	Megaloolithus_sp1	150	150	1849.5	1890	1600
Non-avian_dinosaur	Megaloolithus_sp2	170	170	2692.324	2751.28	2400
Non-avian_dinosaur	Megaloolithus_mamillareT31	210	210	5075.028	5186.16	1600
Non-avian_dinosaur	Megaloolithus_mamillareT32	215	215	5446.2295	5565.49	1300
Non-avian_dinosaur	Megaloolithus_mamillare2	210	210	5075.028	5186.16	1800
Non-avian_dinosaur	Megaloolithus_sirugueiTT41	185	185	3469.7305	3545.71	2200
Non-avian_dinosaur	Megaloolithus_sirugueiTT42	215	185	4032.3895	4120.69	2200
Non-avian_dinosaur	Megaloolithus_siruguei1	250	180	4438.8	4536	3000
Non-avian_dinosaur	Megaloolithus_siruguei3	195	195	4063.3515	4152.33	2200
Non-avian_dinosaur	Telmatosaurus_transsylvanicus	175	158	2394.0476	2446.472	2300
Non-avian_dinosaur	Megaloolithus_aureliensis2	210	210	5075.028	5186.16	1100
Non-avian_dinosaur	Megaloolithus_pseudomamillare	200	180	3551.04	3628.8	1600
Non-avian_dinosaur	Megaloolithus_petralta	200	155	2633.14	2690.8	1800
Non-avian_dinosaur	Megaloolithus_microtuberculata	160	160	2244.608	2293.76	2200
Non-avian_dinosaur	Spheroolithidae	90	70	241.668	246.96	1500
Non-avian_dinosaur	Spheroolithus_albertensis	80	80	280.576	286.72	1000
Non-avian_dinosaur	Spheroolithus_sp	80	80	280.576	286.72	2100
Non-avian_dinosaur	Tantumoolithus_lenis	45	34.9	30.0361266	30.693852	400
Non-avian_dinosaur	Orodromeus_makelai	150	66	358.0632	365.904	850
Non-avian_dinosaur	Maiasaura_peeblesorum	110	80	385.792	394.24	1000
