Clade	Taxon	Eggshell_thickness	Egg_mass	Body_mass	Flight	Nesting_site	Nest_type	Precociality	Clutch_size	Prismatic	Cladenew
Neognaths	Prinia_gracilis	69	1.12	7.1	Y	T	C	A	4	Present	Neognaths
Neognaths	Carduelis_carduelis	70	1.23	16	Y	T	S	A	5	Present	Neognaths
Neognaths	Passer_moabiticus	88	1.5	16.5	Y	T	C	A	4	Present	Neognaths
Neognaths	Muscicapa_striata	76	1.85	15.9	Y	T	O	A	4.5	Present	Neognaths
Neognaths	Chloris_chloris	68	1.94	26	Y	T	S	A	5	Present	Neognaths
Neognaths	Melopsittacus_undulatus	116	2.25	29.2	Y	T	C	A	5	Present	Neognaths
Neognaths	Cercotrichas_galactotes	80	2.3	20.3	Y	T	S	A	4.5	Present	Neognaths
Neognaths	Lanius_nubicus	95	2.46	19.7	Y	T	S	A	5	Present	Neognaths
Neognaths	Passer_domesticus	102	2.76	26.6	Y	T	C	A	5.14	Present	Neognaths
Neognaths	Galerida_cristata	95	2.93	42.8	Y	G	S	A	4	Present	Neognaths
Neognaths	Pycnonotus_capensis	83	3.05	38.6	Y	T	S	A	3.5	Present	Neognaths
Neognaths	Turdus_merula	122	6.36	113	Y	T	S	A	4	Present	Neognaths
Neognaths	Streptopelia_senegalensis	120	6.63	101	Y	T	S	A	2	Present	Neognaths
Neognaths	Streptopelia_decaocto	132	7.45	149	Y	T	S	A	2	Present	Neognaths
Neognaths	Streptopelia_risoria	119	8.03	160.4	Y	T	S	A	2	Present	Neognaths
Neognaths	Streptopelia_turtur	137	8.3	132	Y	T	S	A	2	Present	Neognaths
Neognaths	Glareola_pratincola	151	8.42	84.9	Y	G	O	P	3	Present	Neognaths
Neognaths	Falco_naumanni	194	10.84	152.5	Y	T	C	A	4.5	Present	Neognaths
Neognaths	Athene_noctua	187	14	164	Y	T	C	A	4.5	Present	Neognaths
Neognaths	Chlidonias_leucoptera	148	14.04	54.2	Y	G	O	A	2.5	Present	Neognaths
Neognaths	Gallinula_chloropus	229	14.29	343.5	Y	G	O	P	7	Present	Neognaths
Neognaths	Corvus_corone	177	14.99	570	Y	T	S	A	4	Present	Neognaths
Neognaths	Falco_tinnunculus	242	18.09	184	Y	T	S	A	4.5	Present	Neognaths
Neognaths	Alectoris_graeca	278	18.23	615	Y	G	O	P	11	Present	Neognaths
Neognaths	Himantopus_himantopus	185	18.51	161	Y	G	O	P	4	Present	Neognaths
Neognaths	Tyto_alba	241	18.71	418.9	Y	T	C	A	5	Present	Neognaths
Neognaths	Sterna_hirundo	171	19.5	120	Y	G	O	P	3	Present	Neognaths
Neognaths	Nycticorax_nycticorax	205	20.75	810	Y	T	S	A	2.5	Present	Neognaths
Neognaths	Bubulcus_ibis	204	23.22	366	Y	T	S	A	3.5	Present	Neognaths
Neognaths	Egretta_garzetta	218	28.52	312	Y	T	S	A	4	Present	Neognaths
Neognaths	Phasianus_colchicus	308	29.22	1135	Y	G	S	P	11	Present	Neognaths
Neognaths	Burhinus_oedicnemus	266	33.51	459	Y	G	O	P	2	Present	Neognaths
Neognaths	Gallus_domesticus	295	35.88	904	Y	G	S	P	5.5	Present	Neognaths
Neognaths	Strix_aluco	268	36.14	475	Y	T	C	A	4	Present	Neognaths
Neognaths	Chroicocephalus_ridibundus	231	37.5	284	Y	G	O	A	2	Present	Neognaths
Neognaths	Ardea_cinerea	242	49.6	1443	Y	T	S	A	5.5	Present	Neognaths
Neognaths	Geronticus_eremita	394	50.16	1202	Y	T	O	A	3	Present	Neognaths
Neognaths	Anas_platyrhynchos	315	54	1141	Y	G	S	P	7	Present	Neognaths
Neognaths	Buteo_rufinus	371	60.72	1174.5	Y	T	O	A	3	Present	Neognaths
Neognaths	Bubo_bubo	349	69.3	2686	Y	T	S	A	3	Present	Neognaths
Neognaths	Ciconia_ciconia	502	78.78	3448	Y	T	O	A	4	Present	Neognaths
Neognaths	Aquila_rapax	520	92.83	2166.5	Y	T	O	A	2	Present	Neognaths
Neognaths	Anser_anser	741	173.01	3308.5	Y	G	S	P	5	Present	Neognaths
Neognaths	Gyps_fulvus	676	243.88	7436	Y	T	O	A	1	Present	Neognaths
Neognaths	Cinnyris_osea	52	0.86	7.2	Y	T	C	A	2	Present	Neognaths
Non-avian_dinosaurs	Elongatoolithidae	1300	323	NA	N	G	NA	NA	NA	Present	Maniraptorans
Non-avian_dinosaurs	Elongatoolithus_andrewsi	980	384	NA	N	G	NA	NA	34	Present	Maniraptorans
Non-avian_dinosaurs	Lourinhanosaurus_antunesi	900	643	NA	N	G	NA	NA	NA	Present	Non-avian_dinosaurs
Non-avian_dinosaurs	Macroelongatoolithus_xixianensis	2100	3145	NA	N	G	NA	NA	26	Present	Maniraptorans
Non-avian_dinosaurs	Prismatoolithus_levis_troodontid	1000	331	NA	N	G	NA	NA	NA	Present	Paravians
Non-avian_dinosaurs	indet_theropod1	300	168	NA	N	G	NA	NA	NA	Present	Non-avian_dinosaurs
Non-avian_dinosaurs	indet_theropod2	1300	224	NA	N	G	NA	NA	NA	Present	Non-avian_dinosaurs
Non-avian_dinosaurs	indet_theropod3	1200	210	NA	N	G	NA	NA	NA	Present	Non-avian_dinosaurs
Non-avian_dinosaurs	indet_theropod4	1300	273	NA	N	G	NA	NA	NA	Present	Non-avian_dinosaurs
Non-avian_dinosaurs	Dendroolithidae	2300	751	NA	N	G	NA	NA	NA	Present	Maniraptorans
